BX = 000 Event : 1
0x00 0101101|0101011 0x16AB
0x02 0010000|0100001 0x0821
0x03 0010001|0100001 0x08A1
0x04 0010011|0000101 0x0985
0x05 0010101|0000101 0x0A85
0x06 0010111|0000101 0x0B85
0x07 0011001|0000101 0x0C85
0x08 0011100|0000101 0x0E05
0x09 0011110|0000101 0x0F05
0x0a 0111100|0100101 0x1E25
0x0b 0111101|0010010 0x1E92
0x0c 0111101|0101101 0x1EAD
0x0d 0111111|1000100 0x1FC4
BX = 111 Event : 8
0x00 0000011|0110101 0x01B5
0x01 0000101|0000001 0x0281
0x02 0000101|0100111 0x02A7
0x03 0011011|0011000 0x0D98
0x04 0011011|0011010 0x0D9A
0x05 0011011|0011100 0x0D9C
0x06 0011011|0011101 0x0D9D
BX = 000 Event : 9
BX = 001 Event : 10
0x00 0001010|0110110 0x0536
0x01 0001010|0111001 0x0539
0x02 0100010|0111000 0x1138
0x03 0100010|0111010 0x113A
0x04 0100011|0111000 0x11B8
0x05 0100011|0111010 0x11BA
0x06 0101010|1001000 0x1548
0x07 0101010|1001100 0x154C
0x08 0101110|0111000 0x1738
0x09 0110010|0111000 0x1938
0x0a 1000001|0110011 0x20B3
0x0b 1010001|0111100 0x28BC
0x0c 1010001|1001000 0x28C8
0x0d 1010001|1001100 0x28CC
BX = 010 Event : 11
0x00 0001000|0011001 0x0419
0x01 0001000|0011101 0x041D
0x02 0010011|0111110 0x09BE
0x03 0010100|0111110 0x0A3E
BX = 011 Event : 12
0x00 0001010|0000010 0x0502
0x01 0001010|0000011 0x0503
0x02 0001010|0100001 0x0521
0x03 0001010|0100011 0x0523
0x04 0001010|0100101 0x0525
0x05 0001011|0000010 0x0582
0x06 0001011|0000011 0x0583
0x07 0001011|0100101 0x05A5
0x08 0001011|0100111 0x05A7
0x09 0001011|0101000 0x05A8
0x0a 0001100|0000010 0x0602
0x0b 0001100|0000011 0x0603
0x0c 0001100|0100001 0x0621
0x0d 0001100|0100011 0x0623
0x0e 0001100|0100101 0x0625
0x0f 0001101|0000010 0x0682
0x10 0001101|0000011 0x0683
0x11 0001101|0100011 0x06A3
0x12 0001101|0100101 0x06A5
0x13 0001101|0100111 0x06A7
0x14 0011011|0010001 0x0D91
0x15 0011011|0010010 0x0D92
0x16 0011100|0010001 0x0E11
0x17 0011100|0010010 0x0E12
0x18 0100110|0010001 0x1311
0x19 0100110|0010010 0x1312
0x1a 0101110|0010010 0x1712
0x1b 1000111|0000010 0x2382
BX = 100 Event : 13
0x00 0000100|0100101 0x0225
0x01 0000100|0100111 0x0227
0x02 0000100|0101000 0x0228
0x03 0000100|0101001 0x0229
0x04 0000110|0010010 0x0312
0x05 0000110|0110001 0x0331
0x06 0000111|0010010 0x0392
0x07 0000111|0110001 0x03B1
0x08 0001000|0010010 0x0412
0x09 0001000|0110001 0x0431
0x0a 0010001|0100111 0x08A7
0x0b 0010010|0011010 0x091A
0x0c 0010010|0011011 0x091B
0x0d 0010011|0011111 0x099F
0x0e 0010011|0100010 0x09A2
0x0f 0010100|0011111 0x0A1F
0x10 0010100|0100010 0x0A22
BX = 101 Event : 14
0x00 0001000|0100011 0x0423
0x01 0001000|0100100 0x0424
0x02 0001001|0011011 0x049B
0x03 0001001|0100011 0x04A3
BX = 110 Event : 15
0x00 0010101|0101101 0x0AAD
0x01 0010101|0101111 0x0AAF
0x02 0010101|0110000 0x0AB0
0x03 0010101|0110001 0x0AB1
0x04 0011000|0001110 0x0C0E
BX = 111 Event : 16
BX = 000 Event : 17
0x00 0000101|0110001 0x02B1
0x01 0000101|0110100 0x02B4
0x02 0001011|0110001 0x05B1
0x03 0001011|0110100 0x05B4
0x04 0001011|0111001 0x05B9
0x05 0001101|0101011 0x06AB
0x06 0010100|0011000 0x0A18
0x07 0010101|0011111 0x0A9F
0x08 0010101|0100011 0x0AA3
BX = 001 Event : 18
0x00 0000100|0001011 0x020B
0x01 0000100|0011011 0x021B
0x02 0000100|0011101 0x021D
0x03 0000101|0000010 0x0282
0x04 0000101|0010111 0x0297
0x05 0000111|0001011 0x038B
0x06 0001000|0011011 0x041B
0x07 0001000|0100000 0x0420
0x08 0001010|0001011 0x050B
0x09 0001011|0011011 0x059B
0x0a 0001011|0100000 0x05A0
0x0b 0010010|0011110 0x091E
0x0c 0010010|0011111 0x091F
0x0d 0010010|0100000 0x0920
0x0e 0010011|0011110 0x099E
0x0f 0010011|0011111 0x099F
0x10 0010011|0100000 0x09A0
0x11 0100011|0011110 0x119E
0x12 0100011|0011111 0x119F
0x13 0100011|0100000 0x11A0
BX = 010 Event : 19
0x00 0000010|0100101 0x0125
0x01 0000011|0111011 0x01BB
0x02 0000011|0111101 0x01BD
0x03 0000011|0111111 0x01BF
0x04 0000100|0111011 0x023B
0x05 0000100|0111101 0x023D
0x06 0000100|0111111 0x023F
0x07 0000101|0111011 0x02BB
0x08 0000101|0111101 0x02BD
0x09 0000101|0111111 0x02BF
0x0a 0000110|0111011 0x033B
0x0b 0000110|0111101 0x033D
0x0c 0000110|0111111 0x033F
0x0d 0001111|0101111 0x07AF
0x0e 0001111|0110000 0x07B0
0x0f 0010000|0101111 0x082F
0x10 0010000|0110000 0x0830
BX = 011 Event : 20
BX = 100 Event : 21
0x00 0001011|0100011 0x05A3
0x01 0100110|0011001 0x1319
0x02 0101000|0010100 0x1414
0x03 0101000|0010101 0x1415
0x04 0101000|0010111 0x1417
0x05 0101001|0011001 0x1499
0x06 0101011|0011001 0x1599
BX = 101 Event : 22
0x00 0001100|0001101 0x060D
0x01 0001100|0001110 0x060E
0x02 0001110|0011110 0x071E
0x03 0001110|0011111 0x071F
0x04 0001110|0100010 0x0722
0x05 0001110|0100011 0x0723
0x06 0001110|0100101 0x0725
0x07 0001111|0010100 0x0794
0x08 0001111|0010110 0x0796
0x09 0010000|0011110 0x081E
0x0a 0010000|0011111 0x081F
0x0b 0010000|0100010 0x0822
0x0c 0010000|0100011 0x0823
0x0d 0010000|0100101 0x0825
0x0e 0010001|0101000 0x08A8
0x0f 0010001|0101101 0x08AD
0x10 0010100|0101000 0x0A28
0x11 0010100|0101101 0x0A2D
0x12 0010101|0101000 0x0AA8
0x13 0010101|0101101 0x0AAD
0x14 0010110|0101000 0x0B28
0x15 0010110|0101101 0x0B2D
0x16 0100011|0100101 0x11A5
0x17 0100100|0011110 0x121E
0x18 0100100|0011111 0x121F
0x19 0100100|0100010 0x1222
0x1a 0100100|0100011 0x1223
0x1b 0100100|0100101 0x1225
BX = 110 Event : 23
0x00 0011010|0110001 0x0D31
BX = 111 Event : 24
0x00 0001011|1001010 0x05CA
0x01 0001011|1001011 0x05CB
0x02 0001011|1001100 0x05CC
0x03 0001100|1001010 0x064A
0x04 0001100|1001011 0x064B
0x05 0001100|1001100 0x064C
0x06 0001101|1001010 0x06CA
0x07 0001101|1001011 0x06CB
0x08 0001101|1001100 0x06CC
0x09 0001110|1001010 0x074A
0x0a 0001110|1001011 0x074B
0x0b 0001110|1001100 0x074C
BX = 000 Event : 25
0x00 0100010|0100000 0x1120
0x01 0100010|0100001 0x1121
BX = 001 Event : 26
0x00 0000100|0101111 0x022F
0x01 0001010|0100110 0x0526
0x02 0001010|0100111 0x0527
0x03 0010010|0010001 0x0911
BX = 010 Event : 27
0x00 0001110|0100010 0x0722
0x01 0010011|0010101 0x0995
0x02 0010101|0010101 0x0A95
0x03 0011001|0010101 0x0C95
0x04 0011010|0010101 0x0D15
0x05 0011011|0010101 0x0D95
0x06 0011101|0010101 0x0E95
0x07 0011110|0010101 0x0F15
0x08 0110110|0010101 0x1B15
BX = 011 Event : 28
0x00 0010001|0011011 0x089B
0x01 0011001|0011011 0x0C9B
0x02 0011100|0011000 0x0E18
0x03 0101001|0000010 0x1482
0x04 0101001|0011000 0x1498
0x05 0101001|0011010 0x149A
BX = 100 Event : 29
BX = 101 Event : 30
BX = 110 Event : 31
0x00 0001000|0100010 0x0422
0x01 0001000|0100011 0x0423
0x02 0001100|0100010 0x0622
0x03 0001100|0100011 0x0623
0x04 0010010|0010111 0x0917
0x05 0010010|0011000 0x0918
0x06 0010011|0010111 0x0997
0x07 0010011|0011000 0x0998
0x08 0010100|0011111 0x0A1F
0x09 0010100|0110000 0x0A30
0x0a 0010100|0110001 0x0A31
0x0b 0010100|0110100 0x0A34
0x0c 0010110|0011111 0x0B1F
0x0d 0010110|0110000 0x0B30
0x0e 0010110|0110001 0x0B31
0x0f 0010110|0110100 0x0B34
0x10 0100011|0011111 0x119F
0x11 0100011|0110000 0x11B0
0x12 0100011|0110001 0x11B1
0x13 0100011|0110100 0x11B4
0x14 0100011|0100001 0x11A1
BX = 111 Event : 32
0x00 0000111|0100100 0x03A4
0x01 0000111|0100101 0x03A5
0x02 0001001|0100100 0x04A4
BX = 000 Event : 33
BX = 001 Event : 34
0x00 0000001|0000101 0x0085
0x01 0000001|0100101 0x00A5
0x02 0000001|0100111 0x00A7
0x03 0000010|0000101 0x0105
0x04 0000010|0100101 0x0125
0x05 0000011|0000101 0x0185
0x06 0000011|0100101 0x01A5
0x07 0000011|0100111 0x01A7
0x08 0000101|0000101 0x0285
0x09 0000101|0100101 0x02A5
0x0a 0000110|0000101 0x0305
0x0b 0000110|0100101 0x0325
0x0c 0000110|0100111 0x0327
0x0d 0001001|0000101 0x0485
0x0e 0001001|0100101 0x04A5
0x0f 0001001|0100111 0x04A7
0x10 0001010|0000101 0x0505
0x11 0001010|0100101 0x0525
0x12 0011110|1001100 0x0F4C
BX = 010 Event : 35
BX = 011 Event : 36
0x00 0001100|0011110 0x061E
0x01 0001100|0100000 0x0620
0x02 0001101|0011110 0x069E
0x03 0001101|0100000 0x06A0
0x04 0001110|0011110 0x071E
0x05 0001110|0100000 0x0720
0x06 0001111|0101110 0x07AE
0x07 0001111|0110000 0x07B0
0x08 0001111|0110010 0x07B2
0x09 0010000|0100110 0x0826
0x0a 0010010|0100110 0x0926
0x0b 0011110|0111011 0x0F3B
0x0c 0100001|0111011 0x10BB
0x0d 0100110|0011111 0x131F
BX = 100 Event : 37
0x00 0010000|0100000 0x0820
0x01 0010000|0100011 0x0823
0x02 0010000|0100010 0x0822
0x03 0010100|0100000 0x0A20
0x04 0010100|0100011 0x0A23
0x05 0010100|0100010 0x0A22
0x06 0010110|0100000 0x0B20
0x07 0010110|0100011 0x0B23
0x08 0010110|0100010 0x0B22
0x09 0010111|0100000 0x0BA0
0x0a 0010111|0100011 0x0BA3
0x0b 0010111|0100010 0x0BA2
0x0c 0011000|0100000 0x0C20
0x0d 0011000|0100011 0x0C23
0x0e 0011001|0101000 0x0CA8
0x0f 0011010|0101000 0x0D28
0x10 0011101|0100000 0x0EA0
0x11 0011101|0100011 0x0EA3
0x12 0011101|0100010 0x0EA2
0x13 0100000|0100000 0x1020
0x14 0100000|0100011 0x1023
0x15 0100001|0100000 0x10A0
0x16 0100001|0100011 0x10A3
0x17 0100001|0100010 0x10A2
0x18 0100010|0100000 0x1120
0x19 0100010|0100011 0x1123
0x1a 0100011|0101000 0x11A8
0x1b 0100100|0101000 0x1228
0x1c 0100111|0111110 0x13BE
0x1d 0100111|0111111 0x13BF
0x1e 0101111|0001010 0x178A
0x1f 0101111|0001011 0x178B
0x20 0101111|0110000 0x17B0
0x21 0101111|0110011 0x17B3
0x22 0101111|0110100 0x17B4
0x23 0111101|0100111 0x1EA7
0x24 1011000|0110000 0x2C30
0x25 1011000|0110011 0x2C33
0x26 1011000|0110100 0x2C34
BX = 101 Event : 38
BX = 110 Event : 39
0x00 0010010|1000101 0x0945
BX = 111 Event : 40
0x00 0000100|0111010 0x023A
0x01 0000100|0111011 0x023B
0x02 0000101|0000111 0x0287
0x03 0000101|0101001 0x02A9
0x04 0000101|0101100 0x02AC
0x05 0010101|0011111 0x0A9F
0x06 0011000|0000111 0x0C07
0x07 0011000|0100101 0x0C25
0x08 0011000|0100110 0x0C26
0x09 0011000|0100111 0x0C27
0x0a 0011000|0101000 0x0C28
0x0b 0011000|0101100 0x0C2C
BX = 000 Event : 41
0x00 0000000|0111001 0x0039
0x01 0000000|0111010 0x003A
0x02 0000111|0010111 0x0397
0x03 0010100|0001011 0x0A0B
0x04 0010101|0001011 0x0A8B
0x05 0010110|0001011 0x0B0B
BX = 001 Event : 42
0x00 0001001|0100010 0x04A2
0x01 0001001|0001001 0x0489
0x02 0001010|0100010 0x0522
0x03 0001010|0001001 0x0509
0x04 0010100|0100010 0x0A22
0x05 0010100|0001001 0x0A09
BX = 010 Event : 43
BX = 011 Event : 44
0x00 0000111|0011100 0x039C
0x01 0000111|0011101 0x039D
0x02 0001000|0011100 0x041C
0x03 0001000|0011101 0x041D
0x04 0011001|0111001 0x0CB9
0x05 0011001|0111010 0x0CBA
BX = 100 Event : 45
0x00 0010111|0010011 0x0B93
BX = 101 Event : 46
0x00 0001011|0111101 0x05BD
0x01 0100001|0111101 0x10BD
0x02 0100011|0111101 0x11BD
0x03 0100101|0101011 0x12AB
0x04 0100110|0101011 0x132B
BX = 110 Event : 47
0x00 0001001|0010110 0x0496
0x01 0001001|0101011 0x04AB
0x02 0001011|0010110 0x0596
0x03 0001011|0101011 0x05AB
0x04 0100010|0010110 0x1116
0x05 0100010|0101011 0x112B
BX = 111 Event : 48
0x00 0010111|0110101 0x0BB5
0x01 0011000|0110101 0x0C35
BX = 000 Event : 49
0x00 0000010|0010001 0x0111
0x01 0000011|0010001 0x0191
0x02 0011101|0010100 0x0E94
BX = 001 Event : 50
0x00 0000101|0000111 0x0287
BX = 010 Event : 51
BX = 011 Event : 52
0x00 0100111|0001000 0x1388
0x01 0100111|0001101 0x138D
0x02 0100111|0010110 0x1396
0x03 0100111|0111100 0x13BC
0x04 0100111|0111101 0x13BD
0x05 0100111|1000001 0x13C1
0x06 0100111|1000010 0x13C2
0x07 0100111|1000011 0x13C3
0x08 0100111|1000100 0x13C4
BX = 100 Event : 53
BX = 101 Event : 54
0x00 0001100|0100110 0x0626
0x01 0011011|0101100 0x0DAC
BX = 110 Event : 55
0x00 0000101|0001101 0x028D
0x01 0000101|0100111 0x02A7
BX = 111 Event : 56
0x00 0000100|1001110 0x024E
0x01 0000101|1001110 0x02CE
BX = 000 Event : 57
0x00 0001101|0101100 0x06AC
0x01 0001101|0101101 0x06AD
0x02 0001110|0101100 0x072C
0x03 0001110|0101101 0x072D
0x04 0010000|0101100 0x082C
0x05 0010000|0101101 0x082D
0x06 0010001|0101100 0x08AC
0x07 0010001|0101101 0x08AD
BX = 001 Event : 58
BX = 010 Event : 59
0x00 0001001|0011010 0x049A
0x01 0001101|0010000 0x0690
0x02 0001101|0101000 0x06A8
BX = 011 Event : 60
0x00 0011110|0100000 0x0F20
0x01 0011110|0100010 0x0F22
BX = 100 Event : 61
0x00 0001100|0100000 0x0620
0x01 0001100|0100001 0x0621
0x02 0010011|0101000 0x09A8
0x03 0010011|0101010 0x09AA
0x04 0010011|0101011 0x09AB
0x05 0100110|0000011 0x1303
0x06 0100110|0110001 0x1331
0x07 0100110|0110011 0x1333
0x08 0100110|0111000 0x1338
0x09 0100110|0111011 0x133B
0x0a 0101101|0110011 0x16B3
0x0b 0101101|0110100 0x16B4
0x0c 0101101|0110101 0x16B5
0x0d 0101101|0110111 0x16B7
0x0e 0101101|0111010 0x16BA
BX = 101 Event : 62
0x00 0000110|0001111 0x030F
0x01 0100110|0011010 0x131A
BX = 110 Event : 63
0x00 0000001|0111100 0x00BC
0x01 0001001|0111100 0x04BC
0x02 0010001|0100001 0x08A1
0x03 0010001|0100010 0x08A2
0x04 0010001|0100100 0x08A4
0x05 0010011|0100001 0x09A1
0x06 0010011|0100010 0x09A2
0x07 0010011|0100100 0x09A4
BX = 111 Event : 64
0x00 0001000|0101000 0x0428
0x01 0001000|0101001 0x0429
0x02 0001001|0101001 0x04A9
0x03 0100010|0011000 0x1118
0x04 0100011|0011000 0x1198
BX = 000 Event : 65
0x00 0001010|0010001 0x0511
0x01 0001010|0010010 0x0512
0x02 0001010|0101101 0x052D
0x03 0001110|0010000 0x0710
0x04 0001110|0101011 0x072B
0x05 0011010|0010000 0x0D10
0x06 0011010|0010001 0x0D11
0x07 0011010|0101011 0x0D2B
0x08 0011010|0010010 0x0D12
0x09 0011010|0010011 0x0D13
0x0a 0011010|0101100 0x0D2C
0x0b 0011010|0101101 0x0D2D
0x0c 0011011|0010000 0x0D90
0x0d 0011011|0010001 0x0D91
0x0e 0011011|0101011 0x0DAB
0x0f 0011011|0010010 0x0D92
0x10 0011011|0010011 0x0D93
0x11 0011011|0101100 0x0DAC
0x12 0011011|0101101 0x0DAD
0x13 0101100|0010000 0x1610
0x14 0101100|0010001 0x1611
0x15 0101100|0101011 0x162B
0x16 0101100|0010010 0x1612
0x17 0101100|0010011 0x1613
0x18 0101100|0011000 0x1618
0x19 0101100|0101100 0x162C
0x1a 0101100|0101101 0x162D
BX = 001 Event : 66
0x00 0000101|0100001 0x02A1
0x01 0000110|0001100 0x030C
0x02 0000110|0100111 0x0327
0x03 0000111|0100001 0x03A1
0x04 0010111|0100001 0x0BA1
0x05 0010111|0100100 0x0BA4
BX = 010 Event : 67
0x00 0000010|0011001 0x0119
0x01 0000100|0011000 0x0218
0x02 0000100|0011001 0x0219
0x03 0001011|0011000 0x0598
0x04 0001011|0011001 0x0599
0x05 0001100|0110010 0x0632
0x06 0001100|0011000 0x0618
0x07 0001100|0011001 0x0619
0x08 0111010|0011000 0x1D18
0x09 0111011|0011000 0x1D98
0x0a 0111100|0011000 0x1E18
0x0b 1000000|0110010 0x2032
0x0c 1000000|0011000 0x2018
0x0d 1000000|0011001 0x2019
0x0e 1000001|0011000 0x2098
0x0f 1000001|0011001 0x2099
BX = 011 Event : 68
0x00 0000101|0100000 0x02A0
BX = 100 Event : 69
0x00 0000101|0101101 0x02AD
0x01 0000110|0101101 0x032D
0x02 0001000|0101101 0x042D
0x03 0001001|0101101 0x04AD
0x04 0001010|0101101 0x052D
0x05 0010000|0101010 0x082A
0x06 0101011|0101010 0x15AA
0x07 0101011|0101101 0x15AD
BX = 101 Event : 70
BX = 110 Event : 71
0x00 0000010|0101101 0x012D
0x01 0000110|0001001 0x0309
0x02 0000110|0101111 0x032F
0x03 0000111|0001001 0x0389
0x04 0000111|0101111 0x03AF
0x05 0101000|0001001 0x1409
0x06 0101000|0101111 0x142F
BX = 111 Event : 72
0x00 0000011|0101011 0x01AB
0x01 0000100|0101011 0x022B
0x02 0000101|0101011 0x02AB
0x03 0000110|0101111 0x032F
0x04 0000111|0101111 0x03AF
0x05 0010010|0100100 0x0924
0x06 0010011|0001010 0x098A
0x07 0010011|0001101 0x098D
0x08 0010011|0110001 0x09B1
0x09 0110000|0000001 0x1801
0x0a 0110000|0001010 0x180A
0x0b 0110000|0001101 0x180D
0x0c 0110000|0101110 0x182E
0x0d 0110000|0101111 0x182F
0x0e 0110000|0110001 0x1831
BX = 000 Event : 73
0x00 0000100|0110011 0x0233
0x01 0000111|0110011 0x03B3
0x02 0001000|0110011 0x0433
0x03 0010001|0011111 0x089F
0x04 0010010|0011111 0x091F
0x05 0100110|0110011 0x1333
BX = 001 Event : 74
0x00 0001000|0001100 0x040C
0x01 0001101|0100000 0x06A0
0x02 0001110|0001100 0x070C
0x03 0001111|0001100 0x078C
0x04 0010000|0001100 0x080C
0x05 0010010|0001100 0x090C
0x06 0010100|0011000 0x0A18
0x07 0010110|0001100 0x0B0C
0x08 0011000|0001100 0x0C0C
0x09 0011010|0001100 0x0D0C
0x0a 0011010|0001110 0x0D0E
0x0b 0011011|0001100 0x0D8C
0x0c 0011011|0001110 0x0D8E
0x0d 0011101|0100000 0x0EA0
0x0e 0011110|0100000 0x0F20
BX = 010 Event : 75
0x00 0000101|0000001 0x0281
0x01 0000101|0111111 0x02BF
0x02 0000110|0000001 0x0301
0x03 0000110|0111111 0x033F
0x04 0000111|0111110 0x03BE
0x05 0001000|0000001 0x0401
0x06 0001000|0111111 0x043F
0x07 0001001|0000001 0x0481
0x08 0001001|0111111 0x04BF
0x09 0001110|0000001 0x0701
0x0a 0001110|0111111 0x073F
0x0b 0010110|0010011 0x0B13
0x0c 0010110|1000101 0x0B45
0x0d 0101000|0010011 0x1413
0x0e 0101000|1000101 0x1445
0x0f 0101000|0010111 0x1417
0x10 0101010|0000001 0x1501
0x11 0101010|0111111 0x153F
0x12 0101010|0001011 0x150B
0x13 0101010|0010011 0x1513
BX = 011 Event : 76
0x00 0000011|0011011 0x019B
0x01 0000011|0100001 0x01A1
0x02 0000101|0011011 0x029B
0x03 0000101|0100001 0x02A1
0x04 0000111|0011011 0x039B
0x05 0000111|0100001 0x03A1
0x06 0001000|0011011 0x041B
0x07 0001000|0100001 0x0421
0x08 0001110|0110011 0x0733
0x09 0001110|0110100 0x0734
0x0a 0001110|0110101 0x0735
0x0b 0010000|0110011 0x0833
0x0c 0010000|0110100 0x0834
0x0d 0010000|0110101 0x0835
0x0e 0010001|0110011 0x08B3
0x0f 0010001|0110100 0x08B4
0x10 0010001|0110101 0x08B5
0x11 0010010|0100110 0x0926
0x12 0010011|0100110 0x09A6
0x13 0010110|0100001 0x0B21
0x14 0010110|0100110 0x0B26
0x15 0010111|0100110 0x0BA6
0x16 0011000|0101101 0x0C2D
BX = 100 Event : 77
0x00 0001010|0100110 0x0526
0x01 0001010|0100111 0x0527
BX = 101 Event : 78
0x00 0001010|0100011 0x0523
0x01 0001011|0001010 0x058A
BX = 110 Event : 79
0x00 0001101|0011001 0x0699
0x01 0001101|0100101 0x06A5
0x02 0001110|0011001 0x0719
0x03 0001110|0100101 0x0725
0x04 0001111|0011001 0x0799
0x05 0001111|0100101 0x07A5
BX = 111 Event : 80
BX = 000 Event : 81
0x00 0000101|0010100 0x0294
0x01 0000101|0010110 0x0296
0x02 0000110|0010100 0x0314
0x03 0000110|0010110 0x0316
0x04 0000111|0010100 0x0394
0x05 0000111|0010110 0x0396
0x06 0001000|0010110 0x0416
0x07 0001010|0010100 0x0514
0x08 0001010|0010110 0x0516
0x09 0001011|0010100 0x0594
0x0a 0001011|0010110 0x0596
0x0b 0010001|0100000 0x08A0
0x0c 0010001|0100001 0x08A1
BX = 001 Event : 82
BX = 010 Event : 83
0x00 0000110|0010000 0x0310
0x01 0001001|0011001 0x0499
BX = 011 Event : 84
0x00 0011101|0100100 0x0EA4
0x01 0011101|0101010 0x0EAA
BX = 100 Event : 85
0x00 0001101|0010100 0x0694
0x01 0011011|0010011 0x0D93
0x02 0011110|0010011 0x0F13
BX = 101 Event : 86
0x00 0000100|0100100 0x0224
0x01 0000101|0100101 0x02A5
0x02 0001001|0110100 0x04B4
0x03 0001001|0110110 0x04B6
0x04 0001111|0011101 0x079D
0x05 0011100|0011001 0x0E19
0x06 0011100|0011010 0x0E1A
0x07 0011100|0110100 0x0E34
0x08 0011100|0110110 0x0E36
BX = 110 Event : 87
0x00 0000011|0110010 0x01B2
0x01 0000110|0110010 0x0332
0x02 0000111|0000010 0x0382
0x03 0001100|0010010 0x0612
0x04 0001100|0010101 0x0615
0x05 0001101|0010010 0x0692
0x06 0001101|0010101 0x0695
0x07 0001110|0010010 0x0712
0x08 0001110|0010101 0x0715
0x09 0011111|0010010 0x0F92
0x0a 0011111|0010101 0x0F95
0x0b 0011111|0011100 0x0F9C
BX = 111 Event : 88
BX = 000 Event : 89
0x00 0000000|0100010 0x0022
0x01 0000100|0100010 0x0222
0x02 0000111|0100010 0x03A2
0x03 0000111|0100100 0x03A4
0x04 0001010|0100101 0x0525
0x05 0010111|0100001 0x0BA1
0x06 0100010|0011011 0x111B
0x07 0100010|0011111 0x111F
0x08 0100011|0011011 0x119B
0x09 0100011|0011111 0x119F
0x0a 0100100|0011011 0x121B
0x0b 0100100|0011111 0x121F
0x0c 0100100|0100001 0x1221
BX = 001 Event : 90
0x00 0000010|0001010 0x010A
0x01 0000010|0100010 0x0122
BX = 010 Event : 91
0x00 0000100|0001001 0x0209
0x01 0000101|0001001 0x0289
0x02 0001110|0011101 0x071D
0x03 0010101|0100101 0x0AA5
0x04 0010110|0100101 0x0B25
BX = 011 Event : 92
BX = 100 Event : 93
0x00 0000111|0110001 0x03B1
0x01 0000111|0110010 0x03B2
0x02 0000111|0110011 0x03B3
0x03 0001010|0110001 0x0531
0x04 0001010|0110010 0x0532
0x05 0001010|0110011 0x0533
0x06 0101001|0110001 0x14B1
0x07 0101001|0110010 0x14B2
0x08 0101001|0110011 0x14B3
0x09 0101001|0010100 0x1494
BX = 101 Event : 94
BX = 110 Event : 95
0x00 0000100|0100011 0x0223
0x01 0000100|0100111 0x0227
0x02 0000101|0100011 0x02A3
0x03 0000101|0100111 0x02A7
0x04 0000110|0100011 0x0323
0x05 0000110|0100111 0x0327
0x06 0001010|0011110 0x051E
BX = 111 Event : 96
0x00 0010101|0100000 0x0AA0
BX = 000 Event : 97
0x00 0001011|0110010 0x05B2
BX = 001 Event : 98
0x00 0001101|0101111 0x06AF
BX = 010 Event : 99
0x00 0001011|0010010 0x0592
0x01 0001011|0100010 0x05A2
0x02 0001011|0100011 0x05A3
0x03 0001100|0010010 0x0612
0x04 0001100|0100010 0x0622
0x05 0001100|0100011 0x0623
0x06 0010001|0010010 0x0892
0x07 0010001|0100010 0x08A2
0x08 0010001|0100011 0x08A3
0x09 0010010|0010010 0x0912
0x0a 0010010|0100010 0x0922
0x0b 0010010|0100011 0x0923
0x0c 0100100|0010010 0x1212
0x0d 0100100|0100010 0x1222
0x0e 0100100|0100011 0x1223
BX = 011 Event : 100
0x00 0001011|0010001 0x0591
0x01 0001011|0100010 0x05A2
0x02 0001011|0010011 0x0593
0x03 0001100|0100010 0x0622
0x04 0001100|0010011 0x0613
0x05 0010001|0010001 0x0891
0x06 0010001|0100000 0x08A0
0x07 0101100|0010001 0x1611
