BX = 000 Event : 1
0x00 0111110|0101111 0x1F2F
0x00 0001000|0011111 0x041F
BX = 101 Event : 30
0x00 0010010|0100011 0x0923
BX = 110 Event : 31
BX = 111 Event : 32
0x00 0001000|0010101 0x0415
0x01 0010001|0100010 0x08A2
0x02 0011110|0111100 0x0F3C
0x03 0011110|0111110 0x0F3E
0x04 0100101|0010110 0x1296
0x05 0100111|0011010 0x139A
BX = 000 Event : 33
BX = 001 Event : 34
BX = 010 Event : 35
BX = 011 Event : 36
BX = 100 Event : 37
0x00 0011000|0111000 0x0C38
0x01 0011000|0111001 0x0C39
0x02 0100010|0111011 0x113B
0x03 0100010|0111100 0x113C
BX = 101 Event : 38
BX = 110 Event : 39
BX = 111 Event : 40
BX = 000 Event : 41
0x00 0000101|0010100 0x0294
BX = 001 Event : 42
0x00 0001100|0001101 0x060D
BX = 010 Event : 43
BX = 011 Event : 44
BX = 100 Event : 45
0x00 0111101|0010011 0x1E93
BX = 101 Event : 46
0x00 0101101|0110111 0x16B7
0x01 0110100|0111000 0x1A38
BX = 110 Event : 47
0x00 0110001|0011010 0x189A
0x01 0110010|0011000 0x1918
0x02 0110011|0010110 0x1996
0x03 0110011|0010111 0x1997
0x04 0110011|0011000 0x1998
0x05 0110011|0011011 0x199B
0x06 0110011|0011100 0x199C
0x07 0110111|0100001 0x1BA1
0x08 0110111|0100100 0x1BA4
BX = 111 Event : 48
0x00 0001001|0001111 0x048F
0x01 0001010|0001111 0x050F
0x02 0010011|0011001 0x0999
BX = 000 Event : 49
0x00 0111100|0110110 0x1E36
BX = 001 Event : 50
0x00 0001000|0100111 0x0427
0x01 0001000|0101000 0x0428
0x02 0001000|0101001 0x0429
0x03 0001000|0101010 0x042A
0x04 0001000|0101011 0x042B
0x05 0001001|0100111 0x04A7
0x06 0001001|0101000 0x04A8
0x07 0001001|0101001 0x04A9
0x08 0001001|0101010 0x04AA
0x09 0001001|0101011 0x04AB
BX = 010 Event : 51
0x00 0110100|0100000 0x1A20
BX = 011 Event : 52
BX = 100 Event : 53
0x00 0001001|0011001 0x0499
0x01 0001011|0011001 0x0599
0x02 0110001|0011001 0x1899
0x03 0111000|0101100 0x1C2C
0x04 0111010|0101100 0x1D2C
BX = 101 Event : 54
0x00 0011000|0110000 0x0C30
0x01 0011001|0010001 0x0C91
0x02 0011011|0010010 0x0D92
0x03 0011011|0010011 0x0D93
BX = 110 Event : 55
0x00 1000100|0110010 0x2232
BX = 111 Event : 56
0x00 0010001|0011011 0x089B
0x01 0010001|0011100 0x089C
0x02 0111110|0111011 0x1F3B
0x03 0111111|0111111 0x1FBF
BX = 000 Event : 57
0x00 0011111|0100111 0x0FA7
0x01 0100000|0100111 0x1027
BX = 001 Event : 58
BX = 010 Event : 59
0x00 0000011|0011001 0x0199
0x01 0000011|0011010 0x019A
0x02 0000011|0011011 0x019B
0x03 0100111|0011001 0x1399
0x04 0100111|0011010 0x139A
0x05 0101000|0011001 0x1419
0x06 0101000|0011010 0x141A
0x07 0101000|0011011 0x141B
0x08 0101001|0011001 0x1499
0x09 0101001|0011010 0x149A
0x0a 0101001|0011011 0x149B
0x0b 0101101|0011001 0x1699
0x0c 0101101|0011010 0x169A
BX = 011 Event : 60
BX = 100 Event : 61
BX = 101 Event : 62
BX = 110 Event : 63
0x00 0010001|0100001 0x08A1
BX = 111 Event : 64
BX = 000 Event : 65
0x00 0000110|0011101 0x031D
0x01 0001110|1000101 0x0745
0x02 0001110|1000110 0x0746
BX = 001 Event : 66
BX = 010 Event : 67
0x00 0011011|0011111 0x0D9F
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0011011|1001100 0x0DCC
0x01 0101000|0011011 0x141B
0x02 1000100|0111101 0x223D
BX = 101 Event : 70
0x00 0001000|0110101 0x0435
0x01 0101110|0110001 0x1731
0x02 0101110|0110011 0x1733
0x03 0101111|0110001 0x17B1
0x04 0101111|0110011 0x17B3
0x05 0101111|0110100 0x17B4
BX = 110 Event : 71
0x00 0100100|0010110 0x1216
BX = 111 Event : 72
BX = 000 Event : 73
0x00 0010010|1000101 0x0945
0x01 0101010|1000101 0x1545
0x02 0101011|1000101 0x15C5
BX = 001 Event : 74
BX = 010 Event : 75
BX = 011 Event : 76
0x00 0011011|0010111 0x0D97
0x01 0100000|0010111 0x1017
BX = 100 Event : 77
BX = 101 Event : 78
BX = 110 Event : 79
BX = 111 Event : 80
0x00 0010110|0011111 0x0B1F
0x01 0100101|0101011 0x12AB
0x02 0100110|0101011 0x132B
BX = 000 Event : 81
0x00 0100101|0010000 0x1290
BX = 001 Event : 82
BX = 010 Event : 83
0x00 0101001|1001100 0x14CC
0x01 0101010|1001100 0x154C
0x02 0101011|1001011 0x15CB
0x03 0101101|1001011 0x16CB
BX = 011 Event : 84
BX = 100 Event : 85
0x00 0000010|1010000 0x0150
0x01 0011010|1000111 0x0D47
0x02 0011010|1001010 0x0D4A
0x03 0011100|1001001 0x0E49
0x04 0100011|1010000 0x11D0
BX = 101 Event : 86
BX = 110 Event : 87
BX = 111 Event : 88
0x00 0101101|0010010 0x1692
0x01 0110111|1010000 0x1BD0
0x02 0110111|1010010 0x1BD2
0x03 0110111|1010110 0x1BD6
0x04 0110111|1010111 0x1BD7
BX = 000 Event : 89
0x00 0110100|0111110 0x1A3E
BX = 001 Event : 90
BX = 010 Event : 91
0x00 0010000|0001111 0x080F
BX = 011 Event : 92
0x00 0110010|0011111 0x191F
0x01 0111101|1100001 0x1EE1
0x02 0111101|1100011 0x1EE3
0x03 0111101|1100111 0x1EE7
0x04 0111101|1101000 0x1EE8
0x05 0111101|1101001 0x1EE9
BX = 100 Event : 93
0x00 0010001|1100111 0x08E7
BX = 101 Event : 94
BX = 110 Event : 95
0x00 0011101|0010111 0x0E97
0x01 0100010|0010111 0x1117
BX = 111 Event : 96
BX = 000 Event : 97
BX = 001 Event : 98
0x00 0100110|0111111 0x133F
BX = 010 Event : 99
0x00 0001101|0010010 0x0692
0x01 0011011|0100001 0x0DA1
0x02 0011011|0101010 0x0DAA
0x03 0011100|0100001 0x0E21
0x04 0011101|0100001 0x0EA1
0x05 0011101|0101010 0x0EAA
0x06 0011110|0101010 0x0F2A
0x07 0100011|0101010 0x11AA
BX = 011 Event : 100
0x00 0010110|0011110 0x0B1E
0x01 0100000|0011010 0x101A
